date,Altcoin Market Cap,Bitcoin Market Cap,Total Market Cap
1504933200,71181596213,66394822964,1.38E+11
1505019600,75730146889,69138983349,1.45E+11
1505106000,79845370748,71484453091,1.51E+11
1505192400,72894527802,66761808626,1.40E+11
1505278800,69668446647,63258837358,1.33E+11
1505365200,56648876961,52996781890,1.10E+11
1505451600,64941067182,61789777560,1.27E+11
1505538000,61209468952,58364418858,1.20E+11
1505624400,69005212916,62228836816,1.31E+11
1505710800,69733870334,65317387427,1.35E+11
1505797200,70130138791,65247124221,1.35E+11
1505883600,69030580394,64361026376,1.33E+11
1505970000,65710818373,62095322432,1.28E+11
1506056400,65458047437,61679535435,1.27E+11
1506142800,67147285058,61394421140,1.29E+11
1506229200,68257266912,62824403738,1.31E+11
1506315600,70037719600,64418861067,1.34E+11
1506402000,71132665141,65345626449,1.36E+11
1506488400,75720234001,70270294281,1.46E+11
1506574800,70167333940,67246885877,1.37E+11
1506661200,74370964627,70767004774,1.45E+11
1506747600,74343313176,71681049219,1.46E+11
1506834000,75432523783,73639026475,1.49E+11
1506920400,72992974520,71968221680,1.45E+11
1507006800,73334936312,72040014103,1.45E+11
1507093200,71314138206,69404614210,1.41E+11
1507179600,74335625854,72801905745,1.47E+11
1507266000,74906310937,72380030812,1.47E+11
1507352400,75513213252,73840812615,1.49E+11
1507438800,74019584386,75908433598,1.50E+11
1507525200,72220614205,80394182865,1.53E+11
1507611600,74188498696,79440183612,1.54E+11
1507698000,74562604204,81516144022,1.56E+11
1507784400,76212654445,92533318790,1.69E+11
1507870800,78816884911,93020666625,1.72E+11
1507957200,79078668474,95947922359,1.75E+11
1508043600,79451934413,93494344202,1.73E+11
1508130000,77606629602,94754939384,1.72E+11
1508216400,74150664493,89534938958,1.64E+11
1508302800,74305087227,93268148718,1.68E+11
1508389200,74023052230,94074293801,1.68E+11
1508475600,71707459668,1.01E+11,1.73E+11
1508562000,71754386358,97563211251,1.69E+11
1508648400,70180268501,98918020445,1.69E+11
1508734800,73768176742,96134251132,1.70E+11
1508821200,72704017370,92282959012,1.65E+11
1508907600,72517386402,95337517755,1.68E+11
1508994000,72364578702,97304637648,1.70E+11
1509080400,72593796504,96460883081,1.69E+11
1509166800,73419123157,96092266967,1.70E+11
1509253200,75583507690,1.02E+11,1.78E+11
1509339600,75953836522,1.03E+11,1.78E+11
1509426000,74869494920,1.07E+11,1.82E+11
1509512400,72037592218,1.16E+11,1.89E+11
1509598800,76036662599,1.21E+11,1.97E+11
1509685200,75079071866,1.20E+11,1.95E+11
1509771600,75850677662,1.25E+11,2.00E+11
1509858000,75373375206,1.22E+11,1.97E+11
1509948000,77186661944,1.20E+11,1.97E+11
1510034400,78868327142,1.23E+11,2.02E+11
1510120800,81258718460,1.23E+11,2.04E+11
1510207200,83997578963,1.20E+11,2.04E+11
1510293600,83085701883,1.11E+11,1.94E+11
1510380000,1.04E+11,1.04E+11,2.08E+11
1510466400,90495259407,1.04E+11,1.95E+11
1510552800,92433153485,1.10E+11,2.03E+11
1510639200,95889710326,1.15E+11,2.11E+11
1510725600,92672989117,1.23E+11,2.16E+11
1510812000,93448537858,1.28E+11,2.21E+11
1510898400,96932531009,1.28E+11,2.25E+11
1510984800,1.00E+11,1.29E+11,2.29E+11
1511071200,1.01E+11,1.34E+11,2.34E+11
1511157600,1.00E+11,1.34E+11,2.35E+11
1511244000,1.03E+11,1.37E+11,2.40E+11
1511330400,1.11E+11,1.37E+11,2.48E+11
1511416800,1.14E+11,1.37E+11,2.51E+11
1511503200,1.23E+11,1.39E+11,2.62E+11
1511589600,1.29E+11,1.50E+11,2.79E+11
1511676000,1.37E+11,1.63E+11,3.00E+11
1511762400,1.38E+11,1.66E+11,3.04E+11
1511848800,1.40E+11,1.78E+11,3.18E+11
1511935200,1.28E+11,1.72E+11,2.99E+11
1512021600,1.25E+11,1.63E+11,2.88E+11
1512108000,1.39E+11,1.85E+11,3.24E+11
1512194400,1.42E+11,1.88E+11,3.30E+11
1512280800,1.47E+11,1.93E+11,3.40E+11
1512367200,1.49E+11,1.97E+11,3.46E+11
1512453600,1.54E+11,2.14E+11,3.68E+11
1512540000,1.45E+11,2.47E+11,3.92E+11
1512626400,1.47E+11,2.81E+11,4.27E+11
1512712800,1.62E+11,2.67E+11,4.30E+11
1512799200,1.42E+11,2.28E+11,3.70E+11
1512885600,1.56E+11,2.82E+11,4.38E+11
1512972000,1.71E+11,2.83E+11,4.55E+11
1513058400,2.00E+11,2.84E+11,4.84E+11
1513144800,2.28E+11,2.75E+11,5.03E+11
1513231200,2.25E+11,2.91E+11,5.16E+11
1513317600,2.34E+11,3.02E+11,5.36E+11
1513404000,2.55E+11,3.31E+11,5.86E+11
1513490400,2.57E+11,3.20E+11,5.77E+11
1513576800,3.07E+11,3.19E+11,6.26E+11
1513663200,3.09E+11,2.84E+11,5.92E+11
1513749600,3.42E+11,2.87E+11,6.30E+11
1513836000,2.47E+11,2.19E+11,4.66E+11
1513922400,2.97E+11,2.42E+11,5.39E+11
1514008800,2.95E+11,2.41E+11,5.36E+11
1514095200,2.97E+11,2.34E+11,5.31E+11
1514181600,3.12E+11,2.58E+11,5.70E+11
1514268000,3.24E+11,2.79E+11,6.03E+11
1514354400,3.00E+11,2.44E+11,5.44E+11
1514440800,3.15E+11,2.50E+11,5.64E+11
1514527200,3.63E+11,2.32E+11,5.95E+11
1514613600,3.36E+11,2.19E+11,5.55E+11
1514700000,3.62E+11,2.36E+11,5.98E+11
1514786400,3.82E+11,2.26E+11,6.09E+11
1514872800,4.24E+11,2.61E+11,6.85E+11
1514959200,4.87E+11,2.52E+11,7.39E+11
1515045600,4.84E+11,2.59E+11,7.44E+11
1515132000,4.77E+11,2.84E+11,7.61E+11
1515218400,5.09E+11,2.85E+11,7.94E+11
1515304800,4.81E+11,2.71E+11,7.52E+11
1515391200,4.65E+11,2.55E+11,7.20E+11
1515477600,4.35E+11,2.41E+11,6.76E+11
1515564000,4.15E+11,2.30E+11,6.46E+11
1515650400,4.39E+11,2.34E+11,6.73E+11
1515736800,4.72E+11,2.43E+11,7.15E+11
1515823200,4.54E+11,2.35E+11,6.89E+11
1515909600,4.48E+11,2.33E+11,6.82E+11
1515996000,3.99E+11,2.23E+11,6.22E+11
1516082400,3.29E+11,1.93E+11,5.22E+11
1516168800,3.27E+11,1.93E+11,5.20E+11
1516255200,4.80E+11,1.94E+11,6.74E+11
1516341600,3.74E+11,2.14E+11,5.87E+11
1516428000,3.48E+11,2.02E+11,5.50E+11
1516514400,3.46E+11,1.97E+11,5.43E+11
1516600800,3.07E+11,1.75E+11,4.82E+11
1516687200,3.27E+11,1.86E+11,5.12E+11
1516773600,3.47E+11,1.94E+11,5.41E+11
1516860000,3.33E+11,1.90E+11,5.23E+11
1516946400,3.33E+11,1.89E+11,5.22E+11
1517032800,3.62E+11,2.02E+11,5.64E+11
1517119200,3.56E+11,1.91E+11,5.47E+11
1517205600,3.45E+11,1.86E+11,5.31E+11
1517292000,3.18E+11,1.72E+11,4.90E+11
1517378400,3.22E+11,1.71E+11,4.94E+11
1517464800,2.45E+11,1.45E+11,3.89E+11
1517551200,2.50E+11,1.46E+11,3.95E+11
1517637600,2.75E+11,1.55E+11,4.31E+11
1517724000,2.33E+11,1.36E+11,3.69E+11
1517810400,1.65E+11,1.03E+11,2.68E+11
1517896800,2.15E+11,1.26E+11,3.40E+11
1517983200,2.30E+11,1.36E+11,3.66E+11
1518069600,2.36E+11,1.36E+11,3.72E+11
1518156000,2.86E+11,1.53E+11,4.39E+11
1518242400,2.40E+11,1.37E+11,3.77E+11
1518328800,2.58E+11,1.44E+11,4.03E+11
1518415200,2.59E+11,1.48E+11,4.07E+11
1518501600,2.64E+11,1.50E+11,4.14E+11
1518588000,2.87E+11,1.65E+11,4.52E+11
1518674400,2.85E+11,1.68E+11,4.52E+11
1518760800,3.00E+11,1.81E+11,4.81E+11
1518847200,2.92E+11,1.80E+11,4.72E+11
1518933600,2.94E+11,1.84E+11,4.78E+11
1519020000,2.99E+11,1.97E+11,4.96E+11
1519106400,2.76E+11,1.90E+11,4.66E+11
1519192800,2.65E+11,1.83E+11,4.47E+11
1519279200,2.50E+11,1.69E+11,4.18E+11
1519365600,2.55E+11,1.71E+11,4.26E+11
1519452000,2.53E+11,1.67E+11,4.20E+11
1519538400,2.47E+11,1.61E+11,4.08E+11
1519624800,2.60E+11,1.76E+11,4.36E+11
1519711200,2.58E+11,1.83E+11,4.41E+11
1519797600,2.51E+11,1.78E+11,4.29E+11
1519884000,2.55E+11,1.87E+11,4.42E+11
1519970400,2.53E+11,1.92E+11,4.45E+11
