date,Altcoin Market Cap,Bitcoin Market Cap,Total Market Cap
1483250400,2180105614,16285846732,18465952346
1483336800,2268124509,16516765204,18784889713
1483423200,2500927868,17215794090,19716721958
1483509600,2741118891,19080681906,21821800797
1483596000,2482094306,16102132440,18584226746
1483682400,2196564490,13460977927,15657542417
1483768800,2312686154,14982779966,17295466120
1483855200,2321823206,14328094466,16649917672
1483941600,2370293670,14581176639,16951470309
1484028000,2425907959,14746576382,17172484341
1484114400,2119987541,12165451189,14285438730
1484200800,2204302498,12593007185,14797309683
1484287200,2246733517,13228553688,15475287205
1484373600,2263812874,13111892097,15375704971
1484460000,2283014115,13397481669,15680495784
1484546400,2317150299,14232418581,16549568880
1484632800,2370201640,14460007855,16830209495
1484719200,2370200938,14324120263,16694321201
1484805600,2431478591,14447251306,16878729897
1484892000,2447955309,14815873611,17263828920
1484978400,2495029674,15086437610,17581467284
1485064800,2463045490,14881058262,17344103752
1485151200,2458810808,14819388080,17278198888
1485237600,2424909837,14512504718,16937414555
1485324000,2440045133,14563129351,17003174484
1485410400,2476022004,14871434671,17347456675
1485496800,2478290614,14878693933,17356984547
1485583200,2492902031,14885498426,17378400457
1485669600,2510349499,14882586386,17392935885
1485756000,2537086641,15054190663,17591277304
1485842400,2587565030,15839704610,18427269640
1485928800,2591842653,15993221715,18585064368
1486015200,2632861823,16582562829,19215424652
1486101600,2704916826,16573555400,19278472226
1486188000,2695695094,16823972465,19519667559
1486274400,2700426645,16783891010,19484317655
1486360800,2762848945,17104684051,19867532996
1486447200,2778135200,17414654013,20192789213
1486533600,2716756098,17223892168,19940648266
1486620000,2561074440,15683863230,18244937670
1486706400,2641463533,16187297540,18828761073
1486792800,2608330691,16148092614,18756423305
1486879200,2637389410,16182239337,18819628747
1486965600,2693008985,16150725099,18843734084
1487052000,2790160881,16189726416,18979887297
1487138400,2799728334,16403703111,19203431445
1487224800,2812720097,16685570358,19498290455
1487311200,2808988626,17106502761,19915491387
1487397600,2801408779,17090265242,19891674021
1487484000,2769399125,16969174453,19738573578
1487570400,2718035176,17534090709,20252125885
1487656800,2720525404,17864608369,20585133773
1487743200,2760276346,18143568647,20903844993
1487829600,2753662194,18536042298,21289704492
1487916000,2789992240,18889787154,21679779394
1488002400,2836449590,18658959292,21495408882
1488088800,2940549928,18935553036,21876102964
1488175200,3052000197,19072952316,22124952513
